input_name,total_occurrences
_permit,22
transaction,22
hashes,22
itemtype,22
_futurevault,22
nfttype,22
_feetype,22
dsteid,22
_stable,22
governance,22
_coins,22
pairaddress,22
_details,22
_signers,22
l1token,22
tokenholder,22
policy,22
farm,22
_strikeprice,22
coverkey,22
_card,22
_policyid,22
_traitid,22
relayerfeepct,22
_underlyingtoken,22
settlementparams,22
_job,22
communityid,22
commitment,22
minamountsout,22
pay_amt,22
tomode,22
units,22
_vote,22
game,22
_amount1,22
treasury_,22
vaults,22
_numerator,22
_adr,22
participant,22
sigv,22
_handler_id,22
sigr,22
tradehash,22
amount0desired,21
factory_,21
datafeedid,21
_maxfee,21
borrowtoken,21
_gas,21
_beneficiaries,21
winner,21
_genes,21
_sourcetoken,21
takingamount,21
quorumnumbers,21
_phaseid,21
newaddr,21
destinationcurrencykey,21
configid,21
_lptokens,21
r_,21
proofdata,21
_orderids,21
_sponsor,21
addresstocheck,21
_userid,21
familyid,21
minimumamountout,21
trait,21
_did,21
_requester,21
functionsig,21
protocolid,21
_conditionid,21
_principal,21
_cliff,21
currentprice,21
_interest,21
receivervalue,21
amount1desired,21
valid,21
interestratemode,21
_reserveamount,21
punkindex,21
txn,21
bridgeid,21
_nftids,21
_entityids,21
_appid,21
feed,21
rewardid,21
toamount,21
_tranchenum,21
staking,21
digest,21
_amount0,21
_ticket,21
pollid,21
flowrate,21
marketaddress,21
isvalid,21
image,21
messageidentifier,21
minshares,21
pod,21
lowertick,21
anchorprices,21
sourcecurrencykey,21
locker,21
contractbalance,21
pay_gem,21
crateid,21
_tickupper,21
_operatorid,21
outcomeid,21
shareholder,21
reserveprice,21
meta,21
ops,21
_reserveratio,21
tradeparams,21
_permissions,21
_result,21
_minlpamount,20
_rewardpool,20
votes,20
config_,20
version_,20
wallet_address,20
_excluded,20
subnetwork,20
feerate,20
partnerid,20
istart,20
_vesting,20
_bond,20
openprice,20
dex,20
agentid,20
endblock,20
_stablevault,20
memo,20
minoutput,20
_templateid,20
multisig,20
_newthreshold,20
_link,20
service,20
routeraddress,20
iscall,20
_claimant,20
allocations,20
commands,20
bridgedata,20
paytoken,20
username,20
_baseasset,20
issbt,20
rid,20
_tos,20
wrapeth,20
_bidder,20
assets_,20
_greenamount,20
nodeaddress,20
_output,20
bucket_,20
fieldid,20
_modules,20
isask,20
groupindex,20
loanterms,20
admins,20
lockid,20
target_,20
iend,20
_winner,20
instance,20
_royalty,20
_rewarders,20
baseprice,20
_destinationchainselector,20
mechanicvectorid,20
credid_,20
_amounta,20
_txhash,20
uints,20
series,20
minlpout,20
quotetimestamp,20
_attributes,20
_apy,20
pricecurrency,20
_minamounta,20
otoken,20
borrowable,20
_i,20
maxprocesscount,20
_vrfcoordinator,20
_relayeraddress,20
uid,20
packid,20
delay,20
suppliers,20
_partner,20
newperiod,20
accessoryid,20
assetaddresses,20
_buyback,20
addedvalue,20
ritualid,19
epochs,19
_statuses,19
_call,19
staketoken,19
funds,19
referrer_,19
encodedswap,19
assetprice,19
_nftaddr,19
tradedetails,19
topicid,19
sponsor,19
well,19
_contractaddr,19
template,19
_locktime,19
standard,19
bool_,19
limitprice,19
transferid,19
limit_,19
_ve,19
_ticker,19
feature,19
_template,19
_isdebtincrease,19
_feepercentage,19
_helper,19
beastid,19
binid,19
newtax,19
mintdata,19
_tradeinfo,19
_extension,19
_callbackgaslimit,19
contracttype,19
feedata,19
_dsttoken,19
bridgetoken,19
withdrawals,19
tokenquantity,19
slug,19
maxquantity,19
_class,19
fromtokenamount,19
_collector,19
limits,19
_min_amounts,19
_service,19
_seed,19
_timelock,19
_lockindex,19
domainid,19
optiontype,19
_stakingid,19
team,19
list,19
_erc20tokencontract,19
targetnftid,19
handle,19
encoded,19
priceid,19
_marketingwallet,19
_queryid,19
pubid,19
_platformfee,19
_usezro,19
daijoin,19
_communityid,19
depositnonce,19
sourcechain,19
minbptout,19
bundlenftid,19
_vaultaddr,19
_uniswapv2pair,19
newconfig,19
ajnapool_,19
tld,19
eta,19
makerbid,19
_newcontract,19
newdelay,19
_lotteryid,19
addresses_,19
schedulenum,19
_strike,19
underlyingasset,19
tenor,19
roothash,19
_numtokens,19
loantypeid,19
_rewardrate,19
topic1,19
fractionalassets,19
amountb,19
attributes,19
minliquidity,19
productids,19
_poolfee,18
_chainids,18
_depositfee,18
